Trait ExternalTrait jf_p p_cor p_cor_se nonp_cor nonp_cor_se
TS CUD 0.35441150525493326 0.054 0.0659 -0.0352 0.0763
TS Childhood_IQ 0.36584947683608027 -0.0329 0.0956 0.0898 0.1041
TS EA4 0.1836515206202307 -0.1406 0.0326 -0.0799 0.0395
TS Menopause 0.8364658848989036 -0.0538 0.0688 -0.0815 0.085
TS Metabolic_Syndrome 0.7647617863536238 -0.0049 0.0348 -0.0245 0.0414
TS Risk_beh_composite 0.5452225877695509 -0.0359 0.0418 -0.0909 0.0502
TS Smoking_cessation 0.6278052182292786 -0.0276 0.0424 -0.0643 0.049
TS Speeding_propensity 0.3188489737721527 -0.1281 0.0441 -0.0717 0.0534
TS Tiredness 0.167761119916235 0.1257 0.067 -0.0232 0.076
TS Waist_to_hip_ratio 0.6130645537617441 0.024 0.0344 -0.0004 0.0478
TS backpain 0.07041846004577104 0.2416 0.0493 0.1157 0.0559
TS birth_weight 0.7568979104702767 -0.0004 0.054 0.0177 0.0656
TS chronotype 0.9369299951691941 0.0164 0.0391 0.0241 0.0488
TS cigday 0.5382434873177033 0.0824 0.0406 0.0298 0.0516
TS drinkweek 0.48575482265581815 -0.0304 0.0434 -0.0853 0.0576
TS environmentalstress 0.15289316971152994 0.1759 0.042 0.0841 0.0532
TS ever_smoker 0.09243413616338765 0.047 0.034 -0.0327 0.0418
TS executivefunctioning 0.257996565617044 -0.0573 0.0402 0.0253 0.0493
TS externalizing 0.15621350242416243 0.0218 0.0388 -0.0661 0.0448
TS household_income 0.15447089105455353 -0.1306 0.0455 -0.0368 0.0588
TS insomnia 0.35470855079873553 0.144 0.0516 0.0798 0.061
TS intelligence2 0.35570391788216127 -0.0605 0.0386 0.0014 0.0478
TS internalizing 0.5549317441110382 0.3124 0.1325 0.2055 0.1448
TS lonelines 0.016546079266407547 0.0376 0.0489 -0.1207 0.0559
TS longevity 0.40219145144895785 0.0074 0.053 0.0725 0.0691
TS neighbourhood_deprivation 0.579801000981315 0.2631 0.0786 0.1935 0.1044
TS neurodegenerative 0.7317678476739038 -0.1158 0.0744 -0.1541 0.0809
TS no_sexual_partners 0.20692388893029878 -0.0324 0.0392 -0.1004 0.0483
TS noncog 0.29143029879610816 -0.0509 0.0392 0.0102 0.0488
TS risk_tolerance 0.9063678352892978 -0.0386 0.045 -0.0422 0.0544
TS selfrated_health 0.08842848932092948 0.1385 0.0562 -0.0022 0.0652
TS sleepduration 0.8094072623871951 -0.0796 0.0408 -0.0962 0.0499
TS subjective_wellbeing 0.05778190263254488 0.0891 0.0599 0.2578 0.0774
